visit_date,category_label,visitor_local,visitor_foreigner,counts,sales
201909,1,1032478.0,149038.0,402502.0,25269855139.0
201909,2,1032478.0,149038.0,436117.0,11881787127.0
201909,3,1032478.0,149038.0,107530.0,2876780303.0
201909,4,1032478.0,149038.0,23954.0,1284513545.0
201909,5,1032478.0,149038.0,830902.0,14801384777.0
201909,6,1032478.0,149038.0,260603.0,9729418225.0
201909,7,1032478.0,149038.0,156864.0,25753153708.0
201909,8,1032478.0,149038.0,544670.0,36023529737.0
201909,9,1032478.0,149038.0,751744.0,11786491640.0
201909,10,1032478.0,149038.0,303391.0,8180285515.0
201909,11,1032478.0,149038.0,1574411.0,20849612677.0
201909,12,1032478.0,149038.0,624698.0,7747575980.0
201909,13,1032478.0,149038.0,2262824.0,90339946152.0
201910,0,1254419.0,167893.0,301162.0,13663228083.0
201910,1,1254419.0,167893.0,481222.0,30681912904.0
201910,2,1254419.0,167893.0,495333.0,13597324729.0
201910,3,1254419.0,167893.0,137401.0,3615440881.0
201910,4,1254419.0,167893.0,28866.0,1464798340.0
201910,5,1254419.0,167893.0,989095.0,17798051041.0
201910,6,1254419.0,167893.0,307694.0,11151404354.0
201910,7,1254419.0,167893.0,174187.0,28080576704.0
201910,8,1254419.0,167893.0,664709.0,44706334660.0
201910,9,1254419.0,167893.0,832228.0,12461225192.0
201910,10,1254419.0,167893.0,342314.0,9377930741.0
201910,11,1254419.0,167893.0,1763416.0,23231815229.0
201910,12,1254419.0,167893.0,704730.0,8702875178.0
201910,13,1254419.0,167893.0,2763670.0,114325072849.0
201911,0,1177768.0,145783.0,295292.0,13629902047.0
201911,1,1177768.0,145783.0,466337.0,29539190349.0
201911,2,1177768.0,145783.0,470997.0,12878528946.0
201911,3,1177768.0,145783.0,132652.0,3410152294.0
201911,4,1177768.0,145783.0,27920.0,1342555673.0
201911,5,1177768.0,145783.0,903626.0,16065402849.0
201911,6,1177768.0,145783.0,278480.0,10106664843.0
201911,7,1177768.0,145783.0,172242.0,29201230417.0
201911,8,1177768.0,145783.0,634026.0,43625351622.0
201911,9,1177768.0,145783.0,793459.0,12236223764.0
201911,10,1177768.0,145783.0,332778.0,8668039021.0
201911,11,1177768.0,145783.0,1625234.0,21438303864.0
201911,12,1177768.0,145783.0,627210.0,7625486959.0
201911,13,1177768.0,145783.0,2592872.0,107635803909.0
201912,0,1143772.0,147851.0,300359.0,13676468838.0
201912,1,1143772.0,147851.0,479785.0,31297153802.0
201912,2,1143772.0,147851.0,504840.0,13752593474.0
201912,3,1143772.0,147851.0,142147.0,3833346085.0
201912,4,1143772.0,147851.0,37564.0,1996830039.0
201912,5,1143772.0,147851.0,921119.0,16407612075.0
201912,6,1143772.0,147851.0,293674.0,11427718802.0
201912,7,1143772.0,147851.0,171993.0,28471611398.0
201912,8,1143772.0,147851.0,651745.0,43554149993.0
201912,9,1143772.0,147851.0,829557.0,12850983507.0
201912,10,1143772.0,147851.0,343664.0,9337703711.0
201912,11,1143772.0,147851.0,1708072.0,23149969656.0
201912,12,1143772.0,147851.0,654221.0,8448998914.0
201912,13,1143772.0,147851.0,2645160.0,107746831392.0
202001,0,1104438.0,145608.0,280599.0,13119878736.0
202001,1,1104438.0,145608.0,454939.0,29716906006.0
202001,2,1104438.0,145608.0,490817.0,13525314768.0
202001,3,1104438.0,145608.0,127088.0,3353129513.0
202001,4,1104438.0,145608.0,31525.0,1774183649.0
202001,5,1104438.0,145608.0,823131.0,15078001377.0
202001,6,1104438.0,145608.0,279260.0,10573156610.0
202001,7,1104438.0,145608.0,152763.0,24283035737.0
202001,8,1104438.0,145608.0,590053.0,39797557288.0
202001,9,1104438.0,145608.0,795045.0,12762046456.0
202001,10,1104438.0,145608.0,339979.0,9381596359.0
202001,11,1104438.0,145608.0,1618093.0,21980857110.0
202001,12,1104438.0,145608.0,642263.0,8218650915.0
202001,13,1104438.0,145608.0,2421481.0,97941062286.0
202002,0,599575.0,29229.0,231008.0,11005434209.0
202002,1,599575.0,29229.0,357248.0,21632955895.0
202002,2,599575.0,29229.0,443485.0,12042705292.0
202002,3,599575.0,29229.0,111262.0,2947362341.0
202002,4,599575.0,29229.0,27980.0,1069648951.0
202002,5,599575.0,29229.0,644292.0,11382892558.0
202002,6,599575.0,29229.0,211310.0,7743055222.0
202002,7,599575.0,29229.0,123650.0,21535784725.0
202002,8,599575.0,29229.0,420338.0,26202509245.0
202002,9,599575.0,29229.0,688283.0,10082834226.0
202002,10,599575.0,29229.0,275628.0,7377152862.0
202002,11,599575.0,29229.0,1246632.0,15561063610.0
202002,12,599575.0,29229.0,528407.0,6881308428.0
202002,13,599575.0,29229.0,1925143.0,73308031536.0
202003,0,477176.0,3586.0,236036.0,11066842588.0
202003,1,477176.0,3586.0,352802.0,20683711509.0
202003,2,477176.0,3586.0,457568.0,12229075176.0
202003,3,477176.0,3586.0,116345.0,3021597249.0
202003,4,477176.0,3586.0,23626.0,896520886.0
202003,5,477176.0,3586.0,652493.0,11185788597.0
202003,6,477176.0,3586.0,211600.0,7593268124.0
202003,7,477176.0,3586.0,112810.0,19868348660.0
202003,8,477176.0,3586.0,418451.0,24706440269.0
202003,9,477176.0,3586.0,745087.0,10654545873.0
202003,10,477176.0,3586.0,292497.0,7624429194.0
202003,11,477176.0,3586.0,1316362.0,15840634841.0
202003,12,477176.0,3586.0,565008.0,7268491815.0
202003,13,477176.0,3586.0,1951969.0,70523006817.0
202004,0,541099.0,1159.0,241368.0,11114969094.0
202004,1,541099.0,1159.0,348728.0,20766726248.0
202004,2,541099.0,1159.0,454572.0,12253273061.0
202004,3,541099.0,1159.0,110671.0,2913798416.0
202004,4,541099.0,1159.0,23906.0,776828115.0
202004,5,541099.0,1159.0,676765.0,11403780460.0
202004,6,541099.0,1159.0,226366.0,8096725378.0
202004,7,541099.0,1159.0,116030.0,19878261233.0
202004,8,541099.0,1159.0,450126.0,27010706895.0
202004,9,541099.0,1159.0,726478.0,10913709313.0
202004,10,541099.0,1159.0,301230.0,7855700831.0
202004,11,541099.0,1159.0,1404197.0,16834186867.0
202004,12,541099.0,1159.0,578610.0,7294871680.0
202004,13,541099.0,1159.0,2033207.0,76547367735.0
202005,0,765616.0,2486.0,295163.0,13220861558.0
202005,1,765616.0,2486.0,432584.0,26946487966.0
202005,2,765616.0,2486.0,534506.0,14487029030.0
202005,3,765616.0,2486.0,123765.0,3403993744.0
202005,4,765616.0,2486.0,32099.0,1451043645.0
202005,5,765616.0,2486.0,868847.0,15085613049.0
202005,6,765616.0,2486.0,298988.0,11250838792.0
202005,7,765616.0,2486.0,140079.0,22591428149.0
202005,8,765616.0,2486.0,633061.0,39159625417.0
202005,9,765616.0,2486.0,837641.0,12894401074.0
202005,10,765616.0,2486.0,356602.0,9538951750.0
202005,11,765616.0,2486.0,1825049.0,22792313351.0
202005,12,765616.0,2486.0,677337.0,8645056490.0
202005,13,765616.0,2486.0,2572998.0,100246681341.0
202006,0,860528.0,2889.0,296024.0,13170196137.0
202006,1,860528.0,2889.0,419303.0,25939923028.0
202006,2,860528.0,2889.0,490017.0,13487807232.0
202006,3,860528.0,2889.0,116841.0,3102295677.0
202006,4,860528.0,2889.0,31361.0,1275870428.0
202006,5,860528.0,2889.0,853238.0,14871304078.0
202006,6,860528.0,2889.0,290081.0,11075584024.0
202006,7,860528.0,2889.0,128253.0,21852916180.0
202006,8,860528.0,2889.0,637758.0,39550187326.0
202006,9,860528.0,2889.0,767238.0,11321163323.0
202006,10,860528.0,2889.0,329216.0,8366525776.0
202006,11,860528.0,2889.0,1845519.0,23381520810.0
202006,12,860528.0,2889.0,651914.0,8346217141.0
202006,13,860528.0,2889.0,2587107.0,98968892373.0
202007,0,988094.0,4382.0,322938.0,14357920563.0
202007,1,988094.0,4382.0,453530.0,28308641910.0
202007,2,988094.0,4382.0,523294.0,14759613918.0
202007,3,988094.0,4382.0,121777.0,3190154169.0
202007,4,988094.0,4382.0,29031.0,1296092427.0
202007,5,988094.0,4382.0,920428.0,16285620205.0
202007,6,988094.0,4382.0,330242.0,12539345209.0
202007,7,988094.0,4382.0,134469.0,22552871002.0
202007,8,988094.0,4382.0,704526.0,44571066102.0
202007,9,988094.0,4382.0,839926.0,12683163254.0
202007,10,988094.0,4382.0,351428.0,9388867402.0
202007,11,988094.0,4382.0,2053314.0,26920421997.0
202007,12,988094.0,4382.0,683480.0,8745845685.0
202007,13,988094.0,4382.0,2842687.0,112108015928.0
202008,0,1127097.0,5998.0,337436.0,14755334382.0
202008,1,1127097.0,5998.0,519713.0,33394618198.0
202008,2,1127097.0,5998.0,589497.0,16537991295.0
202008,3,1127097.0,5998.0,118766.0,3219750294.0
202008,4,1127097.0,5998.0,31507.0,1389921242.0
202008,5,1127097.0,5998.0,1061673.0,19755128997.0
202008,6,1127097.0,5998.0,380813.0,15298163494.0
202008,7,1127097.0,5998.0,132324.0,21184108606.0
202008,8,1127097.0,5998.0,814861.0,52265637358.0
202008,9,1127097.0,5998.0,929545.0,14403019824.0
202008,10,1127097.0,5998.0,391502.0,10873561307.0
202008,11,1127097.0,5998.0,2429741.0,33382417679.0
202008,12,1127097.0,5998.0,779052.0,10530942324.0
202008,13,1127097.0,5998.0,3300365.0,135015498012.0
202009,0,726169.0,3508.0,266577.0,11940623795.0
202009,1,726169.0,3508.0,411170.0,24293469979.0
202009,2,726169.0,3508.0,473053.0,12545176487.0
202009,3,726169.0,3508.0,113937.0,2925363645.0
202009,4,726169.0,3508.0,19091.0,727258028.0
202009,5,726169.0,3508.0,830217.0,14004175007.0
202009,6,726169.0,3508.0,281124.0,10887909771.0
202009,7,726169.0,3508.0,110574.0,18720847128.0
202009,8,726169.0,3508.0,597581.0,37789599093.0
202009,9,726169.0,3508.0,884276.0,14157201798.0
202009,10,726169.0,3508.0,336250.0,8722145389.0
202009,11,726169.0,3508.0,1720220.0,21569284905.0
202009,12,726169.0,3508.0,648540.0,8342255740.0
202009,13,726169.0,3508.0,2554834.0,94852431707.0
202010,0,1072455.0,5788.0,333632.0,14501984060.0
202010,1,1072455.0,5788.0,482996.0,30605181801.0
202010,2,1072455.0,5788.0,487337.0,13274676645.0
202010,3,1072455.0,5788.0,125298.0,3311686463.0
202010,4,1072455.0,5788.0,22436.0,952660077.0
202010,5,1072455.0,5788.0,950741.0,16750917657.0
202010,6,1072455.0,5788.0,333733.0,12967812434.0
202010,7,1072455.0,5788.0,129934.0,20142738877.0
202010,8,1072455.0,5788.0,745078.0,48952805532.0
202010,9,1072455.0,5788.0,917273.0,14076782527.0
202010,10,1072455.0,5788.0,374171.0,9941159380.0
202010,11,1072455.0,5788.0,2076785.0,27936238950.0
202010,12,1072455.0,5788.0,675751.0,8789979033.0
202010,13,1072455.0,5788.0,3031589.0,120367203149.0
202011,0,1138369.0,5331.0,317107.0,13819805486.0
202011,1,1138369.0,5331.0,486604.0,31735737864.0
202011,2,1138369.0,5331.0,489901.0,13256896822.0
202011,3,1138369.0,5331.0,130848.0,3574354026.0
202011,4,1138369.0,5331.0,24987.0,1441495165.0
202011,5,1138369.0,5331.0,925298.0,16653712759.0
202011,6,1138369.0,5331.0,298100.0,11534474092.0
202011,7,1138369.0,5331.0,133825.0,21816176752.0
202011,8,1138369.0,5331.0,753000.0,50248418120.0
202011,9,1138369.0,5331.0,930269.0,14984045495.0
202011,10,1138369.0,5331.0,375411.0,10081201608.0
202011,11,1138369.0,5331.0,1952404.0,26410819493.0
202011,12,1138369.0,5331.0,631328.0,8423806681.0
202011,13,1138369.0,5331.0,3013014.0,121858577140.0
202012,0,623062.0,2803.0,192793.0,8434822763.0
202012,1,623062.0,2803.0,343731.0,20001929130.0
202012,2,623062.0,2803.0,464154.0,11736846846.0
202012,3,623062.0,2803.0,112919.0,2910317400.0
202012,4,623062.0,2803.0,17296.0,870341650.0
202012,5,623062.0,2803.0,691084.0,11626378698.0
202012,6,623062.0,2803.0,209951.0,8167547171.0
202012,7,623062.0,2803.0,68331.0,11443703529.0
202012,8,623062.0,2803.0,515530.0,32631528774.0
202012,9,623062.0,2803.0,844035.0,13536955136.0
202012,10,623062.0,2803.0,319659.0,8458640210.0
202012,11,623062.0,2803.0,1413972.0,17991742107.0
202012,12,623062.0,2803.0,588133.0,8055112004.0
202012,13,623062.0,2803.0,2113832.0,77332006817.0
202101,0,465672.0,2344.0,126565.0,5078775920.0
202101,1,465672.0,2344.0,322986.0,18177742256.0
202101,2,465672.0,2344.0,427696.0,10570196018.0
202101,3,465672.0,2344.0,108300.0,2767952103.0
202101,4,465672.0,2344.0,13373.0,596780348.0
202101,5,465672.0,2344.0,626138.0,10411497064.0
202101,6,465672.0,2344.0,197546.0,7017139141.0
202101,7,465672.0,2344.0,20607.0,2949780648.0
202101,8,465672.0,2344.0,436124.0,27223131698.0
202101,9,465672.0,2344.0,792508.0,11703540031.0
202101,10,465672.0,2344.0,305276.0,8055343445.0
202101,11,465672.0,2344.0,1300591.0,16071380984.0
202101,12,465672.0,2344.0,561959.0,7636714604.0
202101,13,465672.0,2344.0,1916739.0,66442649659.0
