기준일(월),항공노선,도착출발구분,항공사,운항수(편),이용자수(명),화물량(톤)
200501,제주-군산,도착,KAL 대한항공,60,7153,78.604
200501,제주-군산,출발,KAL 대한항공,60,7560,77.744
200501,제주-대구,계,AAR 아시아나항공,253,27174,498.374
200501,제주-대구,계,KAL 대한항공,256,29752,722.669
200501,제주-대구,도착,AAR 아시아나항공,123,14098,229.554
200501,제주-대구,도착,KAL 대한항공,126,14316,310.818
200501,제주-대구,출발,AAR 아시아나항공,130,13076,268.82
200501,제주-대구,출발,KAL 대한항공,130,15436,411.851
200501,제주-사천,계,KAL 대한항공,61,7155,86.163
200501,제주-사천,도착,KAL 대한항공,31,3447,44.268
200501,제주-사천,출발,KAL 대한항공,30,3708,41.895
200501,제주-여수,계,KAL 대한항공,62,5520,70.495
200501,제주-여수,도착,KAL 대한항공,31,3273,41.075
200501,제주-여수,출발,KAL 대한항공,31,2247,29.42
200501,제주-울산,계,KAL 대한항공,60,7253,58.708
200501,제주-울산,도착,KAL 대한항공,30,3257,17.031
200501,제주-울산,출발,KAL 대한항공,30,3996,41.677
200501,제주-원주,계,KAL 대한항공,58,7273,45.116
200501,제주-원주,도착,KAL 대한항공,29,3637,16.022
200501,제주-원주,출발,KAL 대한항공,29,3636,29.094
200501,제주-청주,계,AAR 아시아나항공,248,28567,421.361
200501,제주-청주,계,HAN 한성항공,,,
200501,제주-청주,계,KAL 대한항공,246,37247,704.163
200501,제주-청주,도착,AAR 아시아나항공,124,13842,178.232
200501,제주-청주,도착,HAN 한성항공,,,
200501,제주-청주,도착,KAL 대한항공,123,18171,291.707
200501,제주-청주,출발,AAR 아시아나항공,124,14725,243.129
200501,제주-청주,출발,HAN 한성항공,,,
200501,제주-청주,출발,KAL 대한항공,123,19076,412.456
200501,제주-포항,계,AAR 아시아나항공,16,1827,23.422
200501,제주-포항,도착,AAR 아시아나항공,8,910,10.483
200501,제주-포항,출발,AAR 아시아나항공,8,917,12.939
200501,합계,계,계,11071,1405931,33593.143
200501,합계,도착,계,5553,715211,20734.117
200501,합계,출발,계,5518,690720,12859.026
200502,김포-광주,계,AAR 아시아나항공,285,32137,286.476
200502,김포-광주,계,KAL 대한항공,285,31636,185.358
200502,김포-광주,도착,AAR 아시아나항공,141,16221,159.94
200502,김포-광주,도착,KAL 대한항공,142,15579,85.925
200502,김포-광주,출발,AAR 아시아나항공,144,15916,126.536
200502,김포-광주,출발,KAL 대한항공,143,16057,99.433
200502,김포-김해,계,AAR 아시아나항공,653,58265,632.97
