visit_date_num,visitor_local,local_corona,gender_label,category_label,sales_per_counts
201801_1,1044956,0,0,0,186020.60672791136
201801_2,1044956,0,1,0,146030.4135338346
201801_3,1044956,0,0,6,25657.25798926188
201801_4,1044956,0,1,6,20349.671662585493
201801_5,1044956,0,0,7,203305.1913858222
201801_6,1044956,0,1,7,105990.78078962876
201801_7,1044956,0,0,8,72001.14750830564
201801_8,1044956,0,1,8,58146.73333333333
201801_9,1044956,0,0,9,13241.608319837294
201801_10,1044956,0,1,9,12677.54408803426
201801_11,1044956,0,0,10,27778.47984668146
201801_12,1044956,0,1,10,27843.9947940591
201801_13,1044956,0,0,11,10162.94208677686
201801_14,1044956,0,1,11,9971.484013570474
201801_15,1044956,0,0,13,40203.51353476088
201801_16,1044956,0,1,13,35934.47590453257
201802_1,892863,0,0,0,189653.7503842607
201802_2,892863,0,1,0,159164.7973997833
201802_3,892863,0,0,6,25281.610293830727
201802_4,892863,0,1,6,20338.340347168843
201802_5,892863,0,0,7,206655.77678648767
201802_6,892863,0,1,7,105327.29918864096
201802_7,892863,0,0,8,70229.6254553133
201802_8,892863,0,1,8,56617.92527943653
201802_9,892863,0,0,9,14662.27934042507
201802_10,892863,0,1,9,14012.7974906306
201802_11,892863,0,0,10,27942.87791636097
201802_12,892863,0,1,10,28365.46590246746
201802_13,892863,0,0,11,10165.398462360346
201802_14,892863,0,1,11,9992.57301661596
201802_15,892863,0,0,13,39739.29162050199
201802_16,892863,0,1,13,35067.1038792005
201803_1,1033778,0,0,0,187247.9107261825
201803_2,1033778,0,1,0,150933.84831460673
201803_3,1033778,0,0,6,24546.267610200543
201803_4,1033778,0,1,6,19436.90496463191
201803_5,1033778,0,0,7,214639.06403637203
201803_6,1033778,0,1,7,112376.4072039072
201803_7,1033778,0,0,8,70240.3392921308
201803_8,1033778,0,1,8,57508.34690633407
201803_9,1033778,0,0,9,13371.165987623475
201803_10,1033778,0,1,9,12757.203098058457
201803_11,1033778,0,0,10,26271.523405956425
201803_12,1033778,0,1,10,26996.376200515344
201803_13,1033778,0,0,11,9964.017935987757
201803_14,1033778,0,1,11,9712.20821160679
201803_15,1033778,0,0,13,39308.72560230014
201803_16,1033778,0,1,13,35525.637589828635
201804_1,1224521,0,0,0,188841.6960242233
201804_2,1224521,0,1,0,152762.18164794007
201804_3,1224521,0,0,6,23915.420181729776
201804_4,1224521,0,1,6,19698.57235455965
201804_5,1224521,0,0,7,209287.9254343449
201804_6,1224521,0,1,7,106058.28861903417
201804_7,1224521,0,0,8,72654.26343823697
201804_8,1224521,0,1,8,62268.92034494497
201804_9,1224521,0,0,9,13343.185894346618
201804_10,1224521,0,1,9,12789.36722705
201804_11,1224521,0,0,10,26872.69134128345
201804_12,1224521,0,1,10,26839.418781351436
201804_13,1224521,0,0,11,9939.264775933458
201804_14,1224521,0,1,11,9620.898554355355
201804_15,1224521,0,0,13,40831.41778386964
201804_16,1224521,0,1,13,37382.44069098425
201805_1,1205904,0,0,0,188320.57857601027
201805_2,1205904,0,1,0,145302.5304592315
201805_3,1205904,0,0,6,24243.91056150694
201805_4,1205904,0,1,6,20112.258685496752
201805_5,1205904,0,0,7,201832.12105059868
201805_6,1205904,0,1,7,108676.12185965924
201805_7,1205904,0,0,8,69870.49523660784
201805_8,1205904,0,1,8,60516.5876248396
201805_9,1205904,0,0,9,13543.403494589083
201805_10,1205904,0,1,9,13017.94646008757
201805_11,1205904,0,0,10,27192.06247086247
201805_12,1205904,0,1,10,27784.881488452906
201805_13,1205904,0,0,11,9827.094416656357
201805_14,1205904,0,1,11,9589.946468357606
201805_15,1205904,0,0,13,40480.47139617694
201805_16,1205904,0,1,13,36424.7765439621
201806_1,1178012,0,0,0,190593.81255449
201806_2,1178012,0,1,0,151520.19250253294
201806_3,1178012,0,0,6,23560.935993678388
201806_4,1178012,0,1,6,19447.64085154293
201806_5,1178012,0,0,7,202777.0385028505
201806_6,1178012,0,1,7,105214.36380200426
201806_7,1178012,0,0,8,67448.55056567593
201806_8,1178012,0,1,8,57728.71671979773
201806_9,1178012,0,0,9,13016.206478196178
201806_10,1178012,0,1,9,12464.474159067742
201806_11,1178012,0,0,10,26738.94221086064
201806_12,1178012,0,1,10,27180.093376764387
201806_13,1178012,0,0,11,9724.969347870809
201806_14,1178012,0,1,11,9655.033675758312
201806_15,1178012,0,0,13,39320.55408595798
201806_16,1178012,0,1,13,35486.06088482116
201807_1,1122890,0,0,0,189075.18517433343
201807_2,1122890,0,1,0,144040.97773475313
201807_3,1122890,0,0,6,23632.744416211408
201807_4,1122890,0,1,6,19812.21472489028
201807_5,1122890,0,0,7,196883.9628685259
201807_6,1122890,0,1,7,100478.23741007196
201807_7,1122890,0,0,8,65816.4039297185
201807_8,1122890,0,1,8,54969.976215498646
201807_9,1122890,0,0,9,12719.925376845971
201807_10,1122890,0,1,9,12153.68850940828
201807_11,1122890,0,0,10,26711.221912249555
201807_12,1122890,0,1,10,27311.918241108047
201807_13,1122890,0,0,11,10188.76431697551
201807_14,1122890,0,1,11,9725.217654456848
201807_15,1122890,0,0,13,39234.98381536186
201807_16,1122890,0,1,13,35189.15634741739
201808_1,1146756,0,0,0,183920.6616596179
201808_2,1146756,0,1,0,147875.798146241
201808_3,1146756,0,0,6,23137.684309975342
201808_4,1146756,0,1,6,20120.83544202754
201808_5,1146756,0,0,7,195132.1356715823
201808_6,1146756,0,1,7,96201.95645690429
201808_7,1146756,0,0,8,67551.14038892504
201808_8,1146756,0,1,8,56976.57891976927
201808_9,1146756,0,0,9,12701.62917018581
201808_10,1146756,0,1,9,12466.617984451408
201808_11,1146756,0,0,10,27663.90542788282
201808_12,1146756,0,1,10,27823.34082470197
201808_13,1146756,0,0,11,9982.093087786428
201808_14,1146756,0,1,11,9755.12118007026
201808_15,1146756,0,0,13,39360.34580948892
201808_16,1146756,0,1,13,35712.16360396111
201809_1,1098591,0,0,0,189075.13829506465
201809_2,1098591,0,1,0,155140.76779026218
201809_3,1098591,0,0,6,23481.12585518814
201809_4,1098591,0,1,6,19767.30583204656
201809_5,1098591,0,0,7,208721.8608072716
201809_6,1098591,0,1,7,100546.4314400459
201809_7,1098591,0,0,8,68360.49890627629
201809_8,1098591,0,1,8,56985.98396145872
201809_9,1098591,0,0,9,13970.32868015661
201809_10,1098591,0,1,9,13306.23730107864
201809_11,1098591,0,0,10,27280.23030067895
